task_seed,split_seed,condition,train_loss_init,val_loss_init,train_loss,val_loss,train_improvement,val_improvement,improvement_gap,abs_improvement_gap,gap,abs_gap,drift,v_tr,v_val,meta_seed,beta_drift,beta_var
653948,164427,full_bqml_strong,0.5944827592744698,0.5787334004168024,0.5881379028671924,0.577510086626655,0.0063448564072774,0.0012233137901473,0.00512154261713,0.00512154261713,-0.0106278162405373,0.0106278162405373,0.0791657978732248,0.0349106600428306,0.0288292460428019,1,1.0,10.0
11288,837661,full_bqml_strong,0.5429737267956907,0.5757653522778393,0.5344798042121786,0.5733987652140584,0.0084939225835121,0.0023665870637809,0.0061273355197312,0.0061273355197312,0.0389189610018798,0.0389189610018798,0.0839514119974269,0.0285805151815515,0.0315237633212908,1,1.0,10.0
582239,656088,full_bqml_strong,0.5679227455633228,0.6085967735856211,0.5545274360798366,0.6082899464550664,0.0133953094834862,0.0003068271305547,0.0130884823529314,0.0130884823529314,0.0537625103752298,0.0537625103752298,0.1064127133901752,0.0354205730868504,0.0260978955687154,1,1.0,10.0
331397,432206,full_bqml_strong,0.6022489723600287,0.6033842863085537,0.5850008751820537,0.6033004464871331,0.017248097177975,8.383982142057267e-05,0.0171642573565544,0.0171642573565544,0.0182995713050794,0.0182995713050794,0.1131527864010482,0.0231858287588757,0.0206042866264341,1,1.0,10.0
795524,214669,full_bqml_strong,0.5762645075377753,0.5728788444248307,0.5644179085713971,0.5700058672937943,0.0118465989663781,0.0028729771310364,0.0089736218353417,0.0089736218353417,0.0055879587223972,0.0055879587223972,0.0960661652008023,0.0340527203542625,0.0232977265918105,1,1.0,10.0
167921,411960,full_bqml_strong,0.5665020657712827,0.5183774992050507,0.5549301899507992,0.5191999701632697,0.0115718758204834,-0.0008224709582189,0.0123943467787024,0.0123943467787024,-0.0357302197875295,0.0357302197875295,0.1038666652768882,0.0301614022212197,0.0328750052858246,1,1.0,10.0
439098,391567,full_bqml_strong,0.5786038298005922,0.524776823259983,0.5737909427141117,0.5224746638119349,0.0048128870864805,0.0023021594480481,0.0025107276384324,0.0025107276384324,-0.0513162789021768,0.0513162789021768,0.0623010283859858,0.0256929441313856,0.0301628041106617,1,1.0,10.0
260461,925262,full_bqml_strong,0.533461683865733,0.7306201605276578,0.5226882189400099,0.7488547676766929,0.010773464925723,-0.0182346071490351,0.0290080720747581,0.0290080720747581,0.2261665487366829,0.2261665487366829,0.1007462955132839,0.0305751269791542,0.0372999010263753,2,1.0,10.0
104146,454407,full_bqml_strong,0.6502310225155229,0.4424538121642741,0.6465392129093568,0.4446839955289565,0.0036918096061661,-0.0022301833646823,0.0059219929708485,0.0059219929708485,-0.2018552173804002,0.2018552173804002,0.0513613309488032,0.0278778699490697,0.0321585896360639,2,1.0,10.0
15201,532056,full_bqml_strong,0.6137501689189792,0.5219163792475945,0.6067721670847257,0.5250959872956108,0.0069780018342534,-0.0031796080480163,0.0101576098822697,0.0101576098822697,-0.0816761797891149,0.0816761797891149,0.0751977310242021,0.03604951770273,0.0344063963953646,2,1.0,10.0
12171,567116,full_bqml_strong,0.575221923493739,0.5854399418625195,0.5730031318974287,0.5873662759850082,0.0022187915963103,-0.0019263341224887,0.0041451257187991,0.0041451257187991,0.0143631440875795,0.0143631440875795,0.0462223583867602,0.0282113577981109,0.0411549115392715,2,1.0,10.0
858647,829014,full_bqml_strong,0.603082467519222,0.6446689004767562,0.5945398763366316,0.6533837244661066,0.0085425911825903,-0.0087148239893504,0.0172574151719407,0.0172574151719407,0.0588438481294749,0.0588438481294749,0.0867548950148848,0.0282244035792591,0.0329838081988269,2,1.0,10.0
552781,512506,full_bqml_strong,0.5748697270457899,0.5476687506871692,0.5677616568622151,0.5539831468245953,0.0071080701835747,-0.006314396137426,0.0134224663210007,0.0134224663210007,-0.0137785100376198,0.0137785100376198,0.08416064174443,0.0328131070110636,0.0280677017897158,2,1.0,10.0
602881,96998,full_bqml_strong,0.6029592223855531,0.5323076904685662,0.5948939918492611,0.54075077628354,0.008065230536292,-0.0084430858149737,0.0165083163512658,0.0165083163512658,-0.0541432155657211,0.0541432155657211,0.0874739103786166,0.0287568929533966,0.032672712459679,2,1.0,10.0
63689,520227,full_bqml_strong,0.5538177295018939,0.7134569363172628,0.5461793141920228,0.7202253443563212,0.007638415309871,-0.0067684080390584,0.0144068233489295,0.0144068233489295,0.1740460301642984,0.1740460301642984,0.0840638680653257,0.0320198917844613,0.0311625627962171,2,1.0,10.0
950845,430083,full_bqml_strong,0.5863999514251823,0.5318727054741305,0.5811852917006901,0.5300789492494842,0.0052146597244921,0.0017937562246462,0.0034209034998459,0.0034209034998459,-0.0511063424512059,0.0511063424512059,0.0797636100943464,0.0354581315559901,0.0268197961566616,2,1.0,10.0
