task,norm_gtr,norm_gval,align,IP,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,G,drift,seed,L,n
42,0.1878270665795752,0.30036374172237423,0.714058357744777,0.04028463086364598,0.07824420719765757,-0.0548750150480613,0.12806695181965522,-0.017953346524983677,0.13311922224571887,0.1460202983446389,0.03692166852307762,0.794255899076621,1,3,6
43,0.17764772822360536,0.06576497184824615,-0.39308743217851594,-0.004592439623246635,-0.11776059391245608,-0.22484413987606425,-0.26955746660097557,-0.2120487709020551,0.10708354596360817,-0.057508695698920476,0.012795368974009153,0.7229287850296109,1,3,6
44,0.28446873509770604,0.19263284203064432,-0.2850651804112653,-0.015621007717098564,0.08545070753932728,-0.10064813236166358,-0.06342482660850268,-0.0938793638872337,0.18609883990099085,0.030454537278731014,0.006768768474429879,0.9057396327215341,1,3,6
45,0.26353609588442595,0.2912572905608106,-0.48735553887411376,-0.03740785613539853,-0.047280744980236204,-0.3353051894922142,-0.24703369268341469,-0.10309530438267074,0.288024444511978,-0.14393838830074396,0.2322098851095435,1.182260820327879,1,3,6
46,0.21921197916423873,0.15719037483005235,0.23518863120139338,0.00810413295185739,0.07395929631955896,-0.13844940449347645,-0.12404512697680947,-0.09200932075307619,0.21240870081303542,-0.03203580622373328,0.04644008374040026,1.0213007733628898,1,3,6
47,0.20107115761010388,0.20019494653199613,-0.37927613994140874,-0.01526716541587221,0.27931994543750516,0.04250385600976832,-0.08034949296821843,0.0011936870674133238,0.23681608942773685,-0.08154318003563175,-0.041310168942354994,1.0742913780174677,1,3,6
48,0.1188161906067725,0.27931880242440854,-0.04918903708203471,-0.0016324658936973978,-0.18031890464095982,-0.2364775256547606,-0.10899924302844814,-0.06801151556569195,0.056158621013800786,-0.040987727462756196,0.16846601008906864,0.5221932920305296,1,3,6
49,0.20355160822070265,0.327454170524535,-0.21792229087164297,-0.01452535380979904,-0.4337243193356798,-0.5358984499595466,0.19090722649857986,0.2286763210013795,0.10217413062386682,-0.03776909450279964,0.7645747709609261,0.694285653631916,1,3,6
0,0.14611601051357187,0.2744875080157693,0.9216502461600222,0.0369646444936067,0.13207621845192247,-0.023876750982707546,0.21437542238638327,-0.011713142741803712,0.15595296943463002,0.22608856512818698,0.012163608240903834,0.8521176962153604,2,3,6
1,0.16725822052317113,0.3255364136786371,0.16386796787274352,0.008922388197918176,0.30112214386211744,0.04930581459930613,0.2255161348876744,0.13624828633375916,0.25181632926281133,0.08926784855391526,0.08694247173445302,1.063351455238621,2,3,6
2,0.10370937177745478,0.5204223961217502,0.15082992283715174,0.008140695123621351,0.007420328266826606,-0.09042844341353415,0.5293351591993731,0.4619288415605218,0.09784877168036075,0.06740631763885135,0.5523572849740559,0.6656632054923467,2,3,6
3,0.177006935389732,0.3046733154169847,-0.04659313286401985,-0.002512734567568957,-0.1969802519567364,-0.3259400190822105,-0.04734626416997825,-0.09952031463876126,0.12895976712547408,0.05217405046878301,0.22641970444344922,0.7786672909735959,2,3,6
4,0.2596066140401351,0.08562375238889786,0.1062825340516133,0.0023625005045738983,-0.018242232743765803,-0.23833762552464638,0.03751797719872635,-0.001107475461153468,0.22009539278088058,0.038625452659879815,0.2372301500634929,1.0218934593330813,2,3,6
5,0.2806076542648854,0.18305536705053999,0.49935873987713736,0.02565042913414981,0.05033570227227376,-0.34886540318349174,0.04579251976985638,-0.005037448140827194,0.3992011054557655,0.050829967910683574,0.34382795504266456,1.3615100003310192,2,3,6
