n,L,task,norm_gtr,norm_gval,align,gtr1,Ltr0,LtrK,Lval0,LvalK,I_tr,I_val,I_val_K1,G,drift,seed
4,2,30,0.46374176705840553,0.5995214002997779,-0.3728798762695395,-0.05145264551272781,-0.023103756285205074,-0.4002230589087551,-0.3540985552164407,0.03472783372946553,0.37711930262355003,-0.3888263889459062,-0.05973019512390926,0.4349508926382206,1.1860110618831075,1
4,2,31,0.29140659675446656,0.8247998408671149,0.782489054190069,-0.0013920853360148743,-0.05179735770505466,-0.22406598371466022,0.1310289061378328,-0.27022912828807377,0.17226862600960555,0.4012580344259066,0.09378924369910388,-0.046163144573413556,0.8664527926821838,1
4,2,32,0.22528141121686343,0.45745112521761855,0.640660785787644,0.05133033226365222,0.04031726355518741,-0.14537369819619045,0.29434691783621186,-0.004789275210909028,0.18569096175137786,0.2991361930471209,0.034215087013689194,0.14058442298528143,0.9549265074454941,1
4,2,33,0.43511291680190156,0.5395262208837039,0.41776235124188227,-0.09585308846897753,-0.07421536575092985,-0.4043933005614445,-0.2412839454107221,-0.41151738454218906,0.33017793481051466,0.17023343913146696,0.046452831302673886,-0.007124083980744544,1.1165187155683558,1
4,2,34,0.4290372418770099,0.3336540142919578,0.8410799983504343,0.028446048537652993,0.12195390471812671,-0.35183949914132845,0.008311058788025114,-0.3115076077146973,0.4737934038594552,0.31981866650272245,0.0664518549497991,0.04033189142663113,1.443810590983247,1
4,2,35,0.2336560208187132,0.5877683815490999,-0.7004729477793051,0.0047197513599742755,-0.1089925329719455,-0.3791221276546882,0.3981356038846574,0.5521505019356561,0.2701295946827427,-0.15401489805099866,-0.04688899117700496,0.9312726295903443,1.1535320597202594,1
4,2,36,0.13111625236914923,0.36042441211553483,0.5820529733791353,0.01787873988477525,0.014215656641690472,-0.1420811362810365,-0.017248669313535216,-0.09138931809050661,0.15629679292272697,0.0741406487769714,0.01306066490112167,0.05069181819052988,0.8412548642037794,1
4,2,37,0.4190884411668249,0.7585524787598245,0.8276773411336088,0.04761495092585131,-0.0040402269575771175,-0.4349553164135066,-0.030494428891335815,-0.48824493568977556,0.4309150894559295,0.45775050679843976,0.12828157053986666,-0.05328961927626896,1.361564322952978,1
4,2,38,0.25990173235828373,0.6787165450012886,0.6162792306735988,-0.003383862013994949,-0.028264769450256674,-0.2097218080533506,0.101223629642887,-0.09048208776721078,0.18145703860309392,0.1917057174100978,0.0542443194841328,0.11923972028613983,0.9160683818628279,1
4,2,39,0.31073456214171274,0.6957326661270254,-0.1095818945837036,0.012029353051747942,-0.005544709995698331,-0.30251657088051276,0.037948591840090584,0.07397903164258648,0.2969718608848144,-0.0360304398024959,-0.010928043493392464,0.3764956025230992,1.1639200113485406,1
4,2,40,0.3242943173968335,0.2629395032158369,0.021087963651420575,-0.00047835070898523315,0.08513309622690308,-0.46135283249325887,0.18528386607796749,0.22228761912009873,0.546485928720162,-0.03700375304213124,0.0007636914312243448,0.6836404516133576,1.5705889765916932,1
